1 2 3 1.0
1832 59 76 4.0
1833 59 77 4.0
1834 59 40 4.0
1835 59 42 4.0
1836 59 84 4.0
1837 59 45 4.0
1838 59 50 4.0
1839 59 62 4.0
1840 59 55 4.00012207031
1841 59 68 5.0
1842 59 36 5.0
1843 59 75 5.0
1844 59 39 5.0
1845 59 80 5.0
1846 59 44 5.0
1847 59 83 5.0
1848 59 89 5.0
1849 59 34 5.0
1850 59 29 5.0
1851 59 49 5.00012207031
1852 59 61 5.00012207031
1853 59 33 6.0
1854 59 74 6.0
1855 59 38 6.0
1856 59 82 6.0
1857 59 88 6.0
1858 59 90 6.0
1859 59 23 6.0
1860 59 28 6.0
1861 59 30 6.0
1862 59 96 6.0
1863 59 67 6.00012207031
1864 59 43 6.00012207031
1865 60 66 1.0
1866 60 54 1.0
1867 60 59 1.0
1868 60 65 2.0
1869 60 72 2.0
1870 60 48 2.0
1871 60 53 2.0
1872 60 58 2.0
1873 60 71 3.0
1874 60 76 3.0
1875 60 42 3.0
1876 60 47 3.0
1877 60 64 3.0
1878 60 52 3.0
1879 60 57 3.0
1880 60 36 4.0
1881 60 78 4.0
1882 60 80 4.0
1883 60 70 4.0
1884 60 41 4.0
1885 60 46 4.0
1886 60 51 4.0
1887 60 56 4.0
1888 60 63 4.0
1889 60 69 5.0
1890 60 77 5.0
1891 60 40 5.0
1892 60 35 5.0
1893 60 84 5.0
1894 60 45 5.0
1895 60 90 5.0
1896 60 50 5.0
1897 60 30 5.0
1898 60 62 5.0
1899 60 55 5.00012207031
1900 60 34 6.0
1901 60 75 6.0
1902 60 39 6.0
1903 60 44 6.0
1904 60 89 6.0
1905 60 83 6.0
1906 60 68 6.0
1907 60 92 6.0
1908 60 24 6.0
1909 60 29 6.0
1910 60 49 6.00012207031
1911 60 61 6.00012207031
1912 61 55 1.0
1913 61 49 2.0
1914 61 43 3.0
1915 61 37 4.0
1916 61 31 5.0
1917 61 25 6.0
1918 62 56 1.0
1919 62 61 1.00012207031
1920 62 50 2.0
1921 62 57 2.0
1922 62 55 2.0001220703099998
1923 62 44 3.0
1924 62 51 3.0
1925 62 49 3.0001220703099998
1926 62 45 4.0
1927 62 38 4.0
1928 62 52 4.0
1929 62 43 4.00012207031
1930 62 39 5.0
1931 62 46 5.0
1932 62 32 5.0
1933 62 53 5.0
1934 62 37 5.00012207031
1935 62 33 6.0
1936 62 40 6.0
1937 62 47 6.0
1938 62 26 6.0
1939 62 54 6.0
1940 62 59 6.0
1941 62 31 6.00012207031
1942 63 57 1.0
1943 63 64 1.0
1944 63 62 1.0
1945 63 65 2.0
1946 63 51 2.0
1947 63 56 2.0
1948 63 58 2.0
1949 63 61 2.0001220703099998
1950 63 71 3.0
1951 63 45 3.0
1952 63 66 3.0
1953 63 52 3.0
1954 63 50 3.0
1955 63 59 3.0
1956 63 55 3.0001220703099998
1957 63 78 4.0
1958 63 39 4.0
1959 63 70 4.0
1960 63 44 4.0
1961 63 46 4.0
1962 63 72 4.0
1963 63 53 4.0
1964 63 60 4.0
1965 63 49 4.00012207031
1966 63 38 5.0
1967 63 77 5.0
1968 63 40 5.0
1969 63 69 5.0
1970 63 33 5.0
1971 63 84 5.0
1972 63 47 5.0
1973 63 76 5.0
1974 63 54 5.0
1975 63 43 5.00012207031
1976 63 68 6.0
1977 63 75 6.0
1978 63 80 6.0
1979 63 34 6.0
1980 63 41 6.0
1981 63 83 6.0
1982 63 89 6.0
1983 63 48 6.0
1984 63 27 6.0
1985 63 32 6.0
1986 63 37 6.00012207031
1987 64 65 1.0
1988 64 58 1.0
1989 64 63 1.0
1990 64 66 2.0
1991 64 71 2.0
1992 64 52 2.0
1993 64 57 2.0
1994 64 59 2.0
1995 64 62 2.0
1996 64 72 3.0
1997 64 70 3.0
1998 64 78 3.0
1999 64 46 3.0
2000 64 51 3.0
2001 64 53 3.0
2002 64 56 3.0
2003 64 60 3.0
2004 64 61 3.0001220703099998
2005 64 77 4.0
2006 64 69 4.0
2007 64 40 4.0
2008 64 84 4.0
2009 64 45 4.0
2010 64 47 4.0
2011 64 76 4.0
